ID,Name,NetWorth,x,y,z,industries,connections,hue color value
55,Paolo Ardoino,32373487817,0.58672994,0.9944262,1.0017605,cryptocurrency/fintech,345/249/22/54/783/107,0.86932945
56,Savitri Jindal & family,31947520872,1.2352309,1.2372549,-0.14674708,mining/materials,1183/1038/80/1403/371,0.8420775
57,Alexey Mordashov & family,31436360538,0.2828908,1.2408803,1.1075544,investment/finance/mining/materials,1438/2384/362/1281,1.5244248
58,Miriam Adelson & family,30669620037,-1.153983,1.0756723,-0.5907879,gambling/entertainment,523/2364/990,1.8096282
59,Idan Ofer,30243653093,-1.1682811,1.205299,0.83258367,logistics/shipping,62/125/48/44,0.7081293
60,Pham Nhat Vuong,30073266315,0.77860713,0.3244709,0.067872494,Diversified,3110/36/20/1115/1547,0.8902763
61,Len Blavatnik,29647299370,-0.3882938,0.50223815,0.121059366,media/entertainment,1513/199,1.8096282
62,Eyal Ofer,29647299370,-0.27992612,1.1531637,0.8855829,real estate/logistics/shipping,1776/1064/59/525,1.5629902
63,He Xiangjian & family,29647299370,0.89417183,0.12006608,-0.67365825,Home appliances,2360/2967,1.3621062
64,Thomas Frist Jr & family,29050945647,-2.0399945,0.7573155,-0.6422507,healthcare,587,2.0075605
65,Colin Huang,28965752258,1.2880725,0.74279535,-1.06334,e-commerce/retail,86/234/1242/443,0.59320146
66,Chen Tianshi,28710172091,0.7169622,1.0224254,-0.48578084,semiconductors/hardware,50/6/454/1577,1.2610606
67,Eduardo Saverin,28369398535,1.9238166,-0.32231557,-0.2246368,social media/advertising/ai,346/1205/5/1783,1.3075284
68,Jay Y. Lee,28284205146,0.5617135,0.31869853,-0.36129203,electronics/semiconductors/manufacturing,284/261/269,0.98371035
69,MacKenzie Scott,28199011757,-0.27493277,0.8002486,-0.58526206,e-commerce/cloud/logistics,266/3/109/260,1.5939332
70,Marilyn Simons & family,27687851423,-0.9088013,0.67172563,0.21813133,hedge funds/finance,3139/115/452/34/120,1.5244248
71,Lyndal Stephens Greth & family,27602658034,-0.81751764,0.37953657,-0.25455776,energy/oil and gas,134/244/245,1.2296851
72,Aliko Dangote,27432271256,-0.24225858,0.7323326,1.6363729,construction/materials,180,0.8420775
73,Robert Pera,27006304311,-0.8913676,1.1041653,-0.51371896,Wireless networking,401/1546/3026,0.5663052
74,Zheng Shuliang & family,26835917533,1.7080644,0.7084428,-1.0352523,mining/materials,1706,0.8420775
75,Michal Strnad,26409950588,0.6305815,1.1268886,1.477859,Defense Contracting,,0.65601134
76,Elaine Marshall & family,26324757199,-0.8178766,0.7939664,-0.003477633,industrial/energy/chemicals,25/23,1.1103568
77,Huang Shilin,26154370421,0.38141346,0.21125138,-0.42398128,batteries/energy storage,239/147/29/119,0.76219267
78,Melinda French Gates,25643210087,-0.8411397,1.483292,-0.5362404,software/cloud/ai,1574/13,1.5939332
79,Vladimir Potanin,25302436531,0.5608199,1.1193609,1.0078837,social media/advertising/ai/mining/materials,716/1678/821/877/362/957,1.3075284
