ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
11,Warren Buffett,121656159482.0,-1.3375782,1.245692,0.28232116,Berkshire Hathaway,finance/investment/insurance,18,95.0,Berkshire Hathaway/ Self Made,5.0,8.0,United States,Widowed/ Remarried,3.0,Bill Gates,True,1,0.043863559706848534,-0.0015083871849103083,0.02395230464786495,0.05000000000000001,121.656159482
12,Alice Walton,115096268530.0,-1.424397,0.5275525,-0.36513987,Walmart,retail/logistics,108/9/37/121,76.0,Walmart,2.0,1.0,United States,Divorced,,Christy Walton/Jim Walton & family/Lukas Walton/Stanley Kroenke,True,4,0.017564342369117122,0.03600373970351466,0.026464766935868352,0.04801207436122534,115.09626853
13,Steve Ballmer,111177372636.0,-1.1189507,1.186706,-0.7052731,Microsoft,software/cloud/ai,18/521/1574,70.0,Microsoft/ Self Made,2.0,6.0,United States,Married,3.0,Bill Gates/Charles Simonyi/Reid Hoffman,True,3,0.03223267983669361,-0.0016246593240980892,0.03739514282215845,0.04939617266614694,111.177372636
14,Amancio Ortega,110666212302.0,-0.33969736,1.2456379,0.8043424,Zara,fashion/retail,2855/268/1211,90.0,Zara/ Self Made,,,Spain,Married,3.0,Antonio Percassi/Sandra Ortega Mera/Sol Daurella,True,3,0.0367214355422919,-0.01434448116383978,0.006814175648484623,0.0400082611208592,110.666212302
15,Carlos Slim Helu & family,108451184188.0,-0.9386904,0.7380109,-0.46271524,Telecom,telecom,18/1243/397/227,86.0,Telecom/ Self Made,,,Mexico,Widowed,6.0,Bill Gates/Fernando Chico Pardo/Patrick Drahi/Sunil Mittal,True,4,0.03152291805947623,0.007686582481834564,0.03411105586077025,0.04707804207028035,108.451184188
16,Changpeng Zhao,95586982450.0,0.74092776,0.8279637,1.0915166,Cryptocurrency exchange,social media/cryptocurrency/fintech,1466/1903/783/1815/1465,49.0,Cryptocurrency exchange/ Self Made,,,Canada,,,Cameron Winklevoss/Matthew Roszak/Michael Saylor/Tim Draper/Tyler Winklevoss,True,5,-0.04355841675840136,-0.004956664074294291,-0.02268831447149106,0.049362574920695235,95.58698245
17,Michael Bloomberg,93201567558.0,-0.39296544,0.40899858,0.19856182,Bloomberg LP,financial data/media,1062/730/2272,84.0,Bloomberg LP/ Self Made,4.0,8.0,United States,In Relationship,2.0,Charles Zegar/Thomas Secunda/Duncan MacMillan,True,3,-0.006639880901579968,-0.008729392585569087,0.004213978872285372,0.011749380036249675,93.201567558
18,Bill Gates,87493610496.0,0.59116113,1.1793662,1.335536,Microsoft,software/cloud/ai,521/13/11,70.0,Microsoft/ Self Made,5.0,8.0,United States,Divorced,3.0,Charles Simonyi/Steve Ballmer/Warren Buffett,True,3,-0.03621832249229069,0.00012620201018771033,-0.030434683293525527,0.04730806229682365,87.493610496
19,Thomas Peterffy,82382007156.0,-2.1448019,0.6136075,0.32170904,Discount brokerage,finance,254/1016,81.0,Discount brokerage/ Self Made,1.0,10.0,United States,Divorced,3.0,Charles Schwab/Rodger Riney & family,True,2,0.017496383559327606,0.018617513208643226,-0.04128514284380502,0.048550986142018776,82.382007156
20,Mukesh Ambani,78889078208.0,0.73825663,0.075868756,0.3817504,Diversified,Diversified,36,69.0,Diversified,,,India,Married,3.0,Li Ka-shing,True,1,-0.0020514445518456273,0.002661645384753925,-0.04988694437522227,0.05,78.889078208
21,Francoise Bettencourt Meyers & family,77611177373.0,0.035682805,0.54315215,0.24678442,L'Oréal,cosmetics/consumer goods,,72.0,L'Oréal,,,France,Married,2.0,,True,0,0.00015634594853146315,-0.0049523131377822,-0.0006709325821031612,0.005,77.611177373
22,Giancarlo Devasini,76077696371.0,0.53893065,0.74390864,1.27194,Cryptocurrency,cryptocurrency/fintech,345/249/54/783/55/107,62.0,Cryptocurrency/ Self Made,,,Italy,,,Brian Armstrong/Chris Larsen/Jean-Louis van der Velde/Michael Saylor/Paolo Ardoino/Stuart Hoegner,True,6,-0.009750901740611044,0.010719313633929084,-0.03627739458809231,0.03906447398388641,76.077696371
23,Julia Koch & family,69177031862.0,-0.7411901,0.802304,0.23811914,Koch  Inc.,industrial/energy/chemicals,25/76/706/2162,64.0,Koch/ Inc.,2.0,2.0,United States,Widowed,3.0,Charles Koch & family/Elaine Marshall & family/Johnelle Hunt/William Koch,True,4,-0.0019235972420225172,0.005839102740456167,-0.046262578991685684,0.04666927856872309,69.177031862
24,Gautam Adani,65087749191.0,1.5724819,0.7923124,0.14092913,Infrastructure  commodities,Commodities/infrastructure,102,63.0,Commodities/ infrastructure/ Self Made,,,India,Married,2.0,Gautam Adani/Vinod Adani,True,1,-0.0013718787918726677,-0.028699296830004824,0.04092026771715558,0.05,65.087749191
25,Charles Koch & family,62872721077.0,-0.6451388,0.91614306,-0.4612832,Koch  Inc.,industrial/energy/chemicals,76/1185/23/2162,90.0,Koch/ Inc.,2.0,5.0,United States,Married,2.0,Elaine Marshall & family/Hemant Taneja/Julia Koch & family/William Koch,True,4,-0.01014164601582106,-0.00938488568345938,0.04474669421666021,0.04683156741473759,62.872721077
26,Masayoshi Son,61765207020.0,0.8091751,0.5971681,-0.67048526,Telecom  Investments,telecom/investment/finance,2501,68.0,Telecom/ Investments/ Self Made,,,Japan,Married,2.0,Vladimir Yevtushenkov,True,1,-0.010936109422469783,0.005131511933442736,0.04851874994243671,0.05,61.76520702
27,Zhang Yiming,59039018572.0,0.8095081,-0.11257417,-0.38657987,TikTok,social media/ai/advertising,1341/1926,42.0,TikTok/ Self Made,,,China,,,Cai Dongchen/Liang Rubo,True,2,-0.009203943250739513,0.025709114341278278,0.03529694806406194,0.04462673721226816,59.039018572
28,Jeff Yass,57420344181.0,-0.67240965,0.3887304,0.38337287,Trading  investments,investment/finance,167/1424/730,67.0,Trading/ investments/ Self Made,1.0,8.0,United States,Married,4.0,Arthur Dantchik/Joel Greenberg/Thomas Secunda,True,3,0.004462370432004579,0.004854472986107274,-0.041859071376723844,0.04237523468214584,57.420344181
29,Robin Zeng,57249957403.0,0.4089765,0.2991851,-0.28566012,Batteries,batteries/energy storage,147/77/239/119,57.0,Batteries/ Self Made,,,Hong Kong,,,Pei Zhenhua/Huang Shilin/Li Ping/Yu Yong,True,4,0.014247458164552671,0.005227526029536534,-0.001996370502907627,0.015306945734699663,57.249957403
30,Zhong Shanshan,56653603680.0,1.2270057,1.6019201,-1.1183374,Beverages  pharmaceuticals,healthcare/pharmaceuticals/food/beverages,,71.0,Beverages/ pharmaceuticals/ Self Made,,,China,,,,True,0,-0.0016589938946026256,-0.004567820125853921,0.001175907545479272,0.005,56.65360368
31,Tadashi Yanai & family,54438575567.0,0.68025196,0.4679741,-0.716866,Fashion retail,ai/software/retail/luxury/fashion,168/1619/1229/1342,77.0,Fashion retail/ Self Made,,,Japan,Married,2.0,Anders Holch Povlsen/Tang Yiu/Zhou Jianping/Qiu Guanghe & family,True,4,-0.006667398259659722,0.01160713789734271,0.04174912072294239,0.04384254703891712,54.438575567
32,Germán Larrea Mota Velasco & family,54353382178.0,-1.241502,0.67592746,0.07471077,Mining,mining/materials,129/95/1118,72.0,Mining,,,Mexico,Married,,Andrew Forrest & family/Gina Rinehart/Patrice Motsepe,True,3,0.04227213602666687,-0.0038465963917934717,0.004590241876750152,0.042694263180730226,54.353382178
33,Dieter Schwarz,52053160675.0,0.079165146,0.46786407,0.48686275,Retail,ai/software/retail,741/872,86.0,Retail,,,Germany,Married,2.0,Samuel Yin/Takao Yasuda,True,2,0.029725362715837346,-0.008567587543518029,-0.03758213786642658,0.04867666619146213,52.053160675
34,Ken Griffin,43022661441.0,-0.94157755,0.5065151,0.2583185,Hedge funds,hedge funds/finance,3139/115/70/120/452,57.0,Hedge funds/ Self Made,2.0,8.0,United States,Divorced,3.0,Anne Dinning/David Tepper/Marilyn Simons & family/Steve Cohen/John Overdeck,True,5,0.002458425103361519,0.01266597282807566,-0.002406931768774409,0.013124939703096717,43.022661441
35,Iris Fontbona & family,42681887886.0,-1.4375937,-0.42552677,0.011725247,Mining,mining/materials,129/95/1118,83.0,Mining,,,Chile,Widowed,3.0,Andrew Forrest & family/Gina Rinehart/Patrice Motsepe,True,3,0.040569918187844695,0.015883550797833653,0.002871000268693512,0.04366289145554394,42.681887886
36,Li Ka-shing,42681887886.0,0.70542,0.11847262,-0.41676942,Diversified,Diversified,266/494/2485/1901,97.0,Diversified/ Self Made,,,Hong Kong,Widowed,2.0,Douglas Leone/Michael Kadoorie/Samuel Chen/Solina Chau,True,4,-0.003336109512040225,0.018793995546386846,-0.013145460037813545,0.02317643231560213,42.681887886
37,Lukas Walton,42000340774.0,-1.3622609,0.75291324,-0.12321518,Walmart,retail/logistics,9/8/121,39.0,Walmart,2.0,1.0,United States,Married,,Jim Walton & family/Rob Walton & family/Stanley Kroenke,True,3,0.01910442043396938,-0.010968129674013345,-0.0015408843415096341,0.02208286831953106,42.000340774
38,Giovanni Ferrero,41403987051.0,0.030688703,1.030185,0.8488133,Nutella  chocolates,food/confectionery,,61.0,Nutella/ chocolates,,4.0,Italy,Married,2.0,,True,0,0.00051002497296473,-0.004335819776079693,-0.002437322587658139,0.005,41.403987051
39,Ma Huateng,41318793662.0,1.4892392,1.1386898,-1.152661,Online games,Online games,1391/1242/499/206,54.0,Online games/ Self Made,,,China,Married,,Martin Lau/Neil Shen/Wang Xing/Zhang Zhidong,True,4,-0.0013101104865170495,-0.0034545807034130228,0.03221711641244734,0.03242827635346133,41.318793662
